"id";"active";"author";"category";"description";"format";"in_stock_number";"isbn";"language";"list_price";"number_of_pages";"our_price";"publication_date";"publisher";"shipping_weight";"title"
13;"1";"Stephen R. Covey";"Management";"<p><em>Millions of copies sold.</em><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><em>New York Times&nbsp;Bestseller.</em><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><em>Named the #1 Most Influential Business Book of the Twentieth Century.</em><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><em>&ldquo;Every so often a book comes along that not only alters the lives of readers but leaves an imprint on the culture itself.&nbsp;The 7 Habits&nbsp;is one of those books.&rdquo; &mdash;Daniel Pink,&nbsp;New York Times&nbsp;bestselling author of&nbsp;When&nbsp;and&nbsp;Drive</em><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">One of the most inspiring and impactful books ever written,&nbsp;</span><em style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">The 7 Habits of Highly Effective People</em><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;""><span style=""color: #333333; font-family: Amazon Ember, Arial, sans-serif;"">&nbsp;has captivated readers for 25 years. It has transformed the lives of presidents and CEOs, educators and parents&mdash;in short, millions of people of all ages and occupations across the world. This twenty-fifth anniversary edition of Stephen Covey&rsquo;s cherished classic commemorates his timeless wisdom, and encourages us to live a life of great and enduring purpose.</span><br /><br /><span style=""color: #333333; font-family: Amazon Ember, Arial, sans-serif;"">&nbsp;Powerful Lessons in Personal Change.</span><br /></span></p>";"paperback";20;"1451639612";"english";16.99;432;14.99;"2013-11-13";" Simon & Schuster; Anniversary Edition";12.0;"The 7 Habits of Highly Effective People"
14;"1";"Timothy Ferriss";"Management";"<p><em>The&nbsp;New York Times&nbsp;bestselling author of&nbsp;The 4-Hour Body&nbsp;shows readers how to live more and work less, now with more than 100 pages of new, cutting-edge content.</em><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><br /><span style=""color: #333333; font-family: Amazon Ember, Arial, sans-serif;"">Escape 9-5, Live Anywhere, and Join the New Rich.<br /></span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">Forget the old concept of retirement and the rest of the deferred-life plan&ndash;there is no need to wait and every reason not to, especially in unpredictable economic times</span><strong style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">.</strong><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&nbsp;Whether your dream is escaping the rat race, experiencing high-end world travel, or&nbsp;earning a monthly five-figure income with zero management,&nbsp;</span><em style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">The 4-Hour Workweek</em><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&nbsp;is the blueprint.</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">This step-by-step guide to luxury lifestyle design teaches:</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&bull; How Tim went from $40,000 per year and 80 hours per week to $40,000 per month and 4 hours per week</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&bull; How to outsource your life to overseas virtual assistants for $5 per hour and do whatever you want</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&bull; How blue-chip escape artists travel the world without quitting their jobs</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&bull; How to eliminate 50% of your work in 48 hours using the principles of a forgotten Italian economist</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&bull; How to trade a long-haul career for short work bursts and frequent &ldquo;mini-retirements&rdquo;</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">The new expanded edition of Tim Ferriss&rsquo;&nbsp;</span><em style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">The 4-Hour Workweek</em><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&nbsp;includes:<br /></span><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&bull; More than 50 practical tips and case studies from readers (including families) who have doubled income, overcome common sticking points, and reinvented themselves using the original book as a starting point</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&bull; Real-world templates you can copy for eliminating e-mail, negotiating with bosses and clients, or getting a private chef for less than $8 a meal</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&bull; How Lifestyle Design principles can be suited to unpredictable economic times</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&bull; The latest tools and tricks, as well as high-tech shortcuts, for living like a diplomat or millionaire without being either</span></p>";"paperback";20;"0307465357";"english";13.28;416;11.77;"2009-12-15";"Harmony; Expanded, Updated ed. Edition ";1.24;"The 4-Hour Workweek"
15;"1";"Dale Carnies";"Management";"<p style=""margin: 0px 0px 14px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">You can go after the job you want&mdash;and get it!</p>
<p style=""margin: -4px 0px 14px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">You can take the job you have&mdash;and improve it!</p>
<p style=""margin: -4px 0px 14px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">You can take any situation&mdash;and make it work for you!</p>
<p style=""margin: -4px 0px 14px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">Dale Carnegie&rsquo;s rock-solid, time-tested advice has carried countless people up the ladder of success<br />in their business and personal lives. One of the most groundbreaking and timeless bestsellers of all time, <br />How to Win Friends &amp; Influence People will teach you:</p>
<p style=""margin: -4px 0px 14px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">-Six ways to make people like you</p>
<p style=""margin: -4px 0px 14px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">-Twelve ways to win people to your way of thinking</p>
<p style=""margin: -4px 0px 14px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">-Nine ways to change people without arousing resentment</p>
<p style=""margin: -4px 0px 0px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">And much more! Achieve your maximum potential<br />A must-read for the twenty-first century with more than 15 million copies sold!</p>";"paperback";20;"0671027034";"english";10.45;288;9.99;"2011-01-01";"SIMON & SCHUSTER; 100th Printing Edition";10.4;"How to win Friends & Influence People"
16;"1";"Chris Guillebeau";"Management";"<p><em>Lead a life of adventure, meaning and purpose&mdash;and&nbsp;earn a good living.</em><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><em><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&nbsp;</span></em><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><em>&ldquo;Thoughtful, funny, and compulsively readable, this guide shows how ordinary people can build solid livings, with independence and purpose, on their own terms.&rdquo;&mdash;Gretchen Rubin, author of the #1&nbsp;New York Times&nbsp;bestseller&nbsp;The Happiness Project</em><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&nbsp;</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">Still in his early thirties, Chris Guillebeau completed a tour of every country on earth and yet he&rsquo;s never held a &ldquo;real job&rdquo; or earned a regular paycheck. Rather, he has a special genius for turning ideas into income, and he uses what he earns both to support his life of adventure and to give back.&nbsp;</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&nbsp;</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">Chris identified 1,500 individuals who have built businesses earning $50,000 or more from a modest investment (in many cases, $100 or less), and focused on the 50 most intriguing case studies.&nbsp;In nearly all cases, people with no special skills discovered aspects of their personal passions that could be monetized, and were able to restructure their lives in ways that gave them greater freedom and fulfillment.</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&nbsp;</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">Here, finally, distilled into one easy-to-use guide, are the most valuable lessons from those who&rsquo;ve learned how to turn what they do into a gateway to self-fulfillment.&nbsp;It&rsquo;s all about finding the intersection between your &ldquo;expertise&rdquo;&mdash;even if you don&rsquo;t consider it such&mdash;and what other people will pay for.&nbsp; You don&rsquo;t need an MBA, a business plan or even employees. All you need is a product or service that springs from what you love to do anyway, people willing to pay, and a way to get paid.</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&nbsp;</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">Not content to talk in generalities, Chris tells you exactly how many dollars his group of unexpected entrepreneurs required to get their projects up and running; what these individuals did in the first weeks and months to generate significant cash; some of the key mistakes they made along the way, and the crucial insights that made the business stick.&nbsp;Among Chris&rsquo;s key principles: If you&rsquo;re good at one thing, you&rsquo;re probably good at something else; never teach a man to fish&mdash;</span><em style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">sell</em><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&nbsp;him the fish instead; and in the battle between planning and action, action wins.</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&nbsp;</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">In ancient times, people who were dissatisfied with their lives dreamed of finding magic lamps, buried treasure, or streets paved with gold.&nbsp;Today, we know that it&rsquo;s up to us to change our lives.&nbsp;And the best part is, if we change our&nbsp;</span><em style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">own</em><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&nbsp;life, we can help others change&nbsp;</span><em style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">theirs.</em><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;""><span style=""color: #333333; font-family: Amazon Ember, Arial, sans-serif;""> This remarkable book will start you on your way.</span><br /><br /><span style=""color: #333333; font-family: Amazon Ember, Arial, sans-serif;"">Reinvent the Way You Make a Living, Do What You Love, and Create a New Future.</span><br /></span></p>";"paperback";20;"0307951529";"english";13.0;304;11.99;"2012-05-08";"Currency; Illustrated Edition";14.4;"The $100 Startup"
17;"1";"Warren E. Buffett, Lawrence A. Cunningham";"Management";"<p><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">The fifth edition of&nbsp;</span><em style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">The Essays of Warren Buffett: Lessons for Corporate America</em><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&nbsp;continues a 25-year tradition of collating Warren Buffett's philosophy in a historic collaboration between Mr. Buffett and Prof. Lawrence Cunningham. As the book Buffett autographs most, its popularity and longevity attest to the widespread appetite for this unique compilation of Mr. Buffett s thoughts that is at once comprehensive, non-repetitive, and digestible. New and experienced readers alike will gain an invaluable informal education by perusing this classic arrangement of Mr. Buffett's best writings.</span></p>";"paperback";20;"1531017509";"english";29.26;350;26.66;"2019-10-14";"Carolina Academic Press; 5th Edition";1.45;"The Essays of Warren Buffett"
18;"1";"Leo Tolstoy";"Fiction";"<p style=""margin: 0px 0px 14px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;""><em>From the award-winning translators of&nbsp;Anna Karenina&nbsp;and&nbsp;The Brothers Karamazov&nbsp;comes this magnificent new translation of Tolstoy's masterwork.</em><br /><br /><em>Nominated as one of America&rsquo;s best-loved novels by PBS&rsquo;s&nbsp;The Great American Read</em></p>
<p style=""margin: -4px 0px 14px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;""><em>War and Peace&nbsp;</em>broadly focuses on Napoleon&rsquo;s invasion of Russia in 1812 and follows three of the most well-known characters in literature: Pierre Bezukhov, the illegitimate son of a count who is fighting for his inheritance and yearning for spiritual fulfillment; Prince Andrei Bolkonsky, who leaves his family behind to fight in the war against Napoleon; and Natasha Rostov, the beautiful young daughter of a nobleman who intrigues both men.</p>
<p style=""margin: -4px 0px 0px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">A s Napoleon&rsquo;s army invades, Tolstoy brilliantly follows characters from diverse backgrounds&mdash;peasants and nobility, civilians and soldiers&mdash;as they struggle with the problems unique to their era, their history, and their culture. And as the novel progresses, these characters transcend their specificity, becoming some of the most moving&mdash;and human&mdash;figures in world literature.</p>";"paperback";20;"1400079985";"english";11.99;1296;10.22;"2008-12-02";"Vintage; Reprint Edition";2.2;"War and Peace (Vintage Classics)"
19;"1";"Miguel de Cervantes Saavedra";"Arts & Literature";"<p style=""margin: 0px 0px 14px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;""><em>This is a Spanish edition of&nbsp;Don Quijote</em>&nbsp;designed for English-speaking students. Both parts, Parts 1 (1605)&nbsp;and 2 (1615), of&nbsp;<em>Don Quijote</em>&nbsp;are included in this single volume, introduced and annotated&nbsp;by Tom Lathrop. The text includes Lathrop's&nbsp;<em>Don </em>Quijote&nbsp;Dictionary<em>,&nbsp;</em>which was previously only available separately.&nbsp;</p>
<p style=""margin: -4px 0px 14px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;""><em>Until Tom Lathrop&rsquo;s first Spanish edition for students was published in 1998</em>, students had to use editions of&nbsp;<em>Don Quijote&nbsp;</em>published in Spain for Spaniards.&nbsp;Vocabulary and syntactic structures that are difficult (or impossible) for students are usually not annotated in those editions. Cultural information which educated Spanish speakers already know, but students simply do not, is equally not annotated. Students have thus been deprived of much of what they need to know in order to understand the text.</p>
<p style=""margin: -4px 0px 14px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;""><em>To help solve the vocabulary problem</em>, Lathrop has included 10,459 vocabulary glosses in the margin opposite the line where the Spanish word to be defined appears. If too many words need to be put in the margin, phrases are translated in footnotes. In all, there are 3,742 footnotes. These also deal with cultural items, historical, geographical, biblical, mythological, textual references, and all kinds of other information. Footnotes will not offer interpretations: that is for instructors and their students to figure out.</p>
<p style=""margin: -4px 0px 0px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;""><em>This edition&mdash;the Dictionary Edition</em>&mdash;includes all the marginal glosses again at the back of the book, compiled for easy reference. Previously, Lathrop&rsquo;s&nbsp;<em>Quijote</em>&nbsp;glosses were available as a separate book, called&nbsp;<em>The&nbsp;Don Quijote&nbsp;Dictionary</em>. The publisher is pleased to present, for the first time ever, Lathrop&rsquo;s&nbsp;<em>Dictionary</em>&nbsp;included as an appendix to his groundbreaking edition of the&nbsp;<em>Quijote</em>. This edition features many of the 1863 etchings by Gustav Dor&eacute; and a new cover by Anna Teather.</p>";"paperback";20;"1589771028";"english";49.4;1120;46.66;"2018-11-13";"European Masterpieces; Dictionary ed. Edition";3.23;"Don Quijote: Spanish Edition and Don Quijote Dictionary for Students"
20;"1";"Marcel Proust";"Arts & Literature";"<p><span style=""color: #0f1111; font-family: 'Amazon Ember', Arial, sans-serif; font-size: 13px;"">&ldquo;Twice amended to bring it to documentary decorum and the kind of textual completion Proust himself could never achieve, the C. K. Scott Moncrieff translation of the</span><em style=""box-sizing: border-box; color: #0f1111; font-family: 'Amazon Ember', Arial, sans-serif; font-size: 13px;"">&nbsp;Search</em><span style=""color: #0f1111; font-family: 'Amazon Ember', Arial, sans-serif; font-size: 13px;"">, buffed, rebuffed, lightened, tightened, and in the abstergent sense, brightened, constitutes a monument which is also a medium&mdash;</span><em style=""box-sizing: border-box; color: #0f1111; font-family: 'Amazon Ember', Arial, sans-serif; font-size: 13px;"">the</em><span style=""color: #0f1111; font-family: 'Amazon Ember', Arial, sans-serif; font-size: 13px;"">&nbsp;medium by which to gain access to the book, the books, even the apocrypha of modern scripture. A triumph of tone, of a single (and singular) vision, this ultimate revision of the primary version affords the surest sled over the ice fields as well as the most sinuous surfboard over the breakers of Proustian prose, an invaluable and inescapable text.&rdquo; &mdash;</span><span style=""box-sizing: border-box; font-weight: bold; color: #0f1111; font-family: 'Amazon Ember', Arial, sans-serif; font-size: 13px;"">Richard Howard</span></p>";"paperback";20;"0812969642";"english";86.8;4211;78.88;"2003-06-03";"Modern Library; Slp Edition";8.16;"In Search of Lost Time: Proust 6-pack (Modern Library Classics)"
21;"1";"Alexandre Dumas père";"Arts & Literature";"<p><em>""On what slender threads do life and fortune hang.""&nbsp;Nominated as one of America&rsquo;s best-loved novels by PBS&rsquo;s&nbsp;The Great American Read</em><br /><strong style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;""><br /></strong><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">Thrown in prison for a crime he has not committed, Edmond Dantes is confined to the grim fortress of If. There he learns of a great hoard of treasure hidden on the Isle of Monte Cristo and he becomes determined not only to escape, but also to unearth the treasure and use it to plot the destruction of the three men responsible for his incarceration. Dumas&rsquo; epic tale of suffering and retribution, inspired by a real-life case of wrongful imprisonment, was a huge popular success when it was first serialized in the 1840s.</span></p>
<p style=""margin: 0px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">Robin Buss&rsquo;s lively English translation is complete and unabridged, and remains faithful to the style of Dumas&rsquo;s original. This edition includes an introduction, explanatory notes and suggestions for further reading.</p>";"paperback";20;" 0140449264";"english";14.4;1276;13.66;"2003-05-27";"Penguin Classics; Reissue Edition";1.95;"The Count of Monte Cristo (Penguin Classics)"
22;"1";"Homer";"Arts & Literature";"<p><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">""Sing, goddess, the anger of Peleus&rsquo; son Achilleus / and its devastation."" For sixty years, that's how Homer has begun the&nbsp;</span><em style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">Iliad</em><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&nbsp;in English, in Richmond Lattimore's faithful translation&mdash;the gold standard for generations of students and general readers.</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">This long-awaited new edition of Lattimore's&nbsp;</span><em style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">Iliad</em><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&nbsp;is designed to bring the book into the twenty-first century&mdash;while leaving the&nbsp;</span><em style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">poem</em><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&nbsp;as firmly rooted in ancient Greece as ever. Lattimore's elegant, fluent verses&mdash;with their memorably phrased heroic epithets and remarkable fidelity to the Greek&mdash;remain unchanged, but classicist Richard Martin has added a wealth of supplementary materials designed to aid new generations of readers. A new introduction sets the poem in the wider context of Greek life, warfare, society, and poetry, while line-by-line notes at the back of the volume offer explanations of unfamiliar terms, information about the Greek gods and heroes, and literary appreciation. A glossary and maps round out the book.</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">The result is a volume that actively invites readers into Homer's poem, helping them to understand fully the worlds in which he and his heroes lived&mdash;and thus enabling them to marvel, as so many have for centuries, at Hektor and Ajax, Paris and Helen, and the devastating rage of Achilleus.</span></p>";"paperback";20;"0226470490";"english";15.2;608;13.24;"2011-01-01";"University of Chicago Press";1.67;"The Iliad of Homer"
23;"1";"Homer";"Arts & Literature";"<p style=""margin: 0px 0px 14px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;""><em>""Wilson&rsquo;s language is fresh, unpretentious and lean&hellip;It is rare to find a translation that is at once so effortlessly easy to read and so rigorously considered."" ―Madeline Miller, author of&nbsp;Circe</em></p>
<p style=""margin: -4px 0px 14px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">Composed at the rosy-fingered dawn of world literature almost three millennia ago,&nbsp;<em>The Odyssey</em>&nbsp;is a poem about violence and the aftermath of war; about wealth, poverty and power; about marriage and family; about travelers, hospitality, and the yearning for home.</p>
<p style=""margin: -4px 0px 14px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">This fresh, authoritative translation captures the beauty of this ancient poem as well as the drama of its narrative. Its characters are unforgettable, none more so than the &ldquo;complicated&rdquo; hero himself, a man of many disguises, many tricks, and many moods, who emerges in this version as a more fully rounded human being than ever before.</p>
<p style=""margin: -4px 0px 14px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">Written in iambic pentameter verse and a vivid, contemporary idiom, Emily Wilson&rsquo;s&nbsp;<em>Odyssey</em>&nbsp;sings with a voice that echoes Homer&rsquo;s music; matching the number of lines in the Greek original, the poem sails along at Homer&rsquo;s swift, smooth pace.</p>
<p style=""margin: -4px 0px 0px; padding: 0px; color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">A fascinating, informative introduction explores the Bronze Age milieu that produced the epic, the poem&rsquo;s major themes, the controversies about its origins, and the unparalleled scope of its impact and influence. Maps drawn especially for this volume, a pronunciation glossary, and extensive notes and summaries of each book make this is an&nbsp;<em>Odyssey</em>&nbsp;that will be treasured by a new generation of readers.</p>
<p><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">3 maps</span></p>";"paperback";20;"0393356256";"english";16.95;592;13.73;"2018-11-06";"W. W. Norton & Company; 1st Edition";1.44;"The Odyssey"
24;"1";"James Joyce ";"Fiction";"<p><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">COMPLETE AND UNABRIDGED. With a new Introduction by Cedric Watts, Research Professor of English, University of Sussex. James Joyces astonishing masterpiece, Ulysses, tells of the diverse events which befall Leopold Bloom and Stephen Dedalus in Dublin on 16 June 1904, during which Blooms voluptuous wife, Molly, commits adultery. Initially deemed obscene in England and the USA, this richly-allusive novel, revolutionary in its Modernistic experimentalism, was hailed as a work of genius by W. B. Yeats, T. S. Eliot and Ernest Hemingway. Scandalously frank, wittily erudite, mercurially eloquent, resourcefully comic and generously humane, Ulysses offers the reader a life-changing experience.</span></p>";"paperback";20;"1840226358";"english";9.04;736;8.24;"2010-01-15";"Wordsworth Editions Ltd; Later Printing Edition";15.9;"Ulysses (Wordsworth Classics)"
25;"1";"Ernest Hemingway";"Fiction";"<p><em style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">The Old Man and the Sea</em><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">&nbsp;is one of Hemingway's most enduring works. Told in language of great simplicity and power, it is the story of an old Cuban fisherman, down on his luck, and his supreme ordeal -- a relentless, agonizing battle with a giant marlin far out in the Gulf Stream.</span><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><br style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"" /><span style=""color: #333333; font-family: 'Amazon Ember', Arial, sans-serif;"">Here Hemingway recasts, in strikingly contemporary style, the classic theme of courage in the face of defeat, of personal triumph won from loss. Written in 1952, this hugely successful novella confirmed his power and presence in the literary world and played a large part in his winning the 1954 Nobel Prize for Literature.</span></p>";"paperback";20;"0684801221";"english";12.99;128;9.89;"1995-05-05";"Scribner; Reissue Edition";4.9;"The Old Man and The Sea, Book Cover May Vary"
